ds,Previsao_RandomForest,Previsao_ARIMA,Previsao_SARIMA
2023-09-01 00:00:00,470206.58365000004,504074.35567465017,492501.62334876653
2023-10-01 00:00:00,473944.52214999986,504074.35567465017,494150.9069502585
2023-11-01 00:00:00,475041.3475500001,504074.35567465017,495715.8721679221
2023-12-01 00:00:00,497377.19814999995,504074.35567465017,526595.7462585375
2024-01-01 00:00:00,482516.09700999974,504074.35567465017,503333.028428975
2024-02-01 00:00:00,454410.5609799998,504074.35567465017,475709.88604553876
2024-03-01 00:00:00,475275.1807499998,504074.35567465017,517425.5697210641
2024-04-01 00:00:00,464430.3036499998,504074.35567465017,472517.01797791274
2024-05-01 00:00:00,469272.5049999995,504074.35567465017,485958.9245403267
2024-06-01 00:00:00,460554.96934999945,504074.35567465017,489830.73237776535
2024-07-01 00:00:00,463283.9180499997,504074.35567465017,508986.2301542082
2024-08-01 00:00:00,458675.80150000006,504074.35567465017,500594.53870327695
2024-09-01 00:00:00,461484.10670000024,504074.35567465017,498491.6988194676
2024-10-01 00:00:00,452217.6221500001,504074.35567465017,499072.06057823997
2024-11-01 00:00:00,448044.3645499998,504074.35567465017,501456.7188976274
2024-12-01 00:00:00,474093.6434500001,504074.35567465017,532070.0949180388
2025-01-01 00:00:00,473974.8335000003,504074.35567465017,508862.2651406705
2025-02-01 00:00:00,461652.0301299997,504074.35567465017,481144.6978248225
2025-03-01 00:00:00,469545.7846499998,504074.35567465017,522802.7406123652
2025-04-01 00:00:00,463277.98259999976,504074.35567465017,478494.6959649026
2025-05-01 00:00:00,464023.6094999998,504074.35567465017,491753.1504973019
2025-06-01 00:00:00,463555.3001499996,504074.35567465017,495017.77332801226
2025-07-01 00:00:00,466532.4360999998,504074.35567465017,514331.9736230692
2025-08-01 00:00:00,468228.5864499998,504074.35567465017,506088.1574243269
2025-09-01 00:00:00,473113.9617999997,504074.35567465017,503849.02163207316
2025-10-01 00:00:00,476898.87974999985,504074.35567465017,504810.4982017571
2025-11-01 00:00:00,476611.5467999999,504074.35567465017,506902.9020559591
2025-12-01 00:00:00,479371.0332999999,504074.35567465017,537611.2956516272
2026-01-01 00:00:00,483136.57476999954,504074.35567465017,514383.8960153626
2026-02-01 00:00:00,459084.75292999955,504074.35567465017,486699.99509009917
2026-03-01 00:00:00,472880.30714999983,504074.35567465017,528378.5892362598
2026-04-01 00:00:00,463214.63555,504074.35567465017,483856.4389927863
2026-05-01 00:00:00,467869.5616499997,504074.35567465017,497180.30175517616
2026-06-01 00:00:00,464199.6324999998,504074.35567465017,500661.4111331525
2026-07-01 00:00:00,469360.4956499996,504074.35567465017,519919.02742182516
2026-08-01 00:00:00,468273.4236499998,504074.35567465017,511622.4875846238
2026-09-01 00:00:00,465669.09465000016,504074.35567465017,509431.9469162591
2026-10-01 00:00:00,474064.71245,504074.35567465017,510257.540306003
2026-11-01 00:00:00,470174.45679999975,504074.35567465017,512454.14495467447
2026-12-01 00:00:00,481261.19729999994,504074.35567465017,543128.6608580924
2027-01-01 00:00:00,481877.19601999974,504074.35567465017,519908.2386852631
2027-02-01 00:00:00,457663.89577999985,504074.35567465017,492212.33430046786
2027-03-01 00:00:00,474978.74474999995,504074.35567465017,533883.6010379813
2027-04-01 00:00:00,462506.5471,504074.35567465017,489437.788287557
2027-05-01 00:00:00,462598.0609500001,504074.35567465017,502738.3303129119
2027-06-01 00:00:00,459652.9247499999,504074.35567465017,506142.253290322
2027-07-01 00:00:00,458224.08634999976,504074.35567465017,525420.0441156464
2027-08-01 00:00:00,462096.76160000026,504074.35567465017,517142.3024343989
2027-09-01 00:00:00,457286.45520000026,504074.35567465017,514934.4355961385
2027-10-01 00:00:00,457766.67845,504074.35567465017,515808.4769550034
2027-11-01 00:00:00,450444.59715000005,504074.35567465017,517967.929714272
2027-12-01 00:00:00,455360.3889,504074.35567465017,548654.5244149977
